id,title,genres,original_language,popularity,release_date,budget,revenue,runtime,status,vote_average,vote_count,release_year,profit
2,The Pope's Exorcist,Horror,en,5953.227,2023-05-04,18000000,65675816,103.0,Released,7.433,545,2023,47675816
4,Creed III,Drama,en,3994.342,2023-01-03,75000000,269000000,116.0,Released,7.262,1129,2023,194000000
5,The Super Mario Bros. Movie,Animation,en,3859.926,2023-05-04,100000000,1278766975,92.0,Released,7.764,4042,2023,1178766975
6,Knock at the Cabin,Horror,en,3422.537,2023-01-02,20000000,52000000,100.0,Released,6.457,888,2023,32000000
9,Plane,Action,en,2618.646,2023-12-01,25000000,51000000,107.0,Released,6.901,785,2023,26000000
11,Black Panther: Wakanda Forever,Action,en,2525.408,2022-09-11,250000000,858535561,162.0,Released,7.338,3922,2022,608535561
12,Scream VI,Horror,en,2472.802,2023-08-03,35000000,168541093,123.0,Released,7.4,1007,2023,133541093
18,Huesera: The Bone Woman,Drama,es,1436.445,2023-10-02,0,0,93.0,Released,6.58,75,2023,0
21,Transformers: Rise of the Beasts,Action,en,1173.857,2023-06-06,200000000,0,127.0,Released,7.71,100,2023,-200000000
26,The Forbidden Legend: Sex & Chopsticks 2,Comedy,cn,974.088,2009-04-03,0,0,93.0,Released,6.0,63,2009,0
27,Guardians of the Galaxy Vol. 3,Science Fiction,en,950.444,2023-03-05,250000000,821801000,150.0,Released,8.1,2052,2023,571801000
28,Transfusion,Crime,en,926.142,2023-05-01,0,0,105.0,Released,6.602,127,2023,0
29,Berlin Drifters,Drama,ja,918.173,2017-10-09,0,0,123.0,Released,5.0,9,2017,0
31,Puss in Boots: The Last Wish,Animation,en,904.25,2022-07-12,90000000,480000000,103.0,Released,8.284,5759,2022,390000000
33,Two Witches,Horror,en,806.155,2023-02-03,0,0,95.0,Released,6.48,52,2023,0
35,Evil Dead Rise,Thriller,en,786.957,2023-12-04,15000000,141512122,96.0,Released,7.044,1680,2023,126512122
38,The Nights Belong to Monsters,Fantasy,es,742.199,2021-09-10,0,0,96.0,Released,2.0,1,2021,0
40,Bar Fight,Comedy,en,626.541,2022-11-11,0,0,84.0,Released,7.3,18,2022,0
43,Renfield,Horror,en,587.168,2023-07-04,65000000,24187819,93.0,Released,6.952,501,2023,-40812181
44,Alien Sniperess,Action,en,581.299,2022-08-04,0,0,94.0,Released,3.9,13,2022,0
45,Dark Blood,Crime,en,573.165,2021-05-09,0,0,83.0,Released,4.9,7,2021,0
49,Troll,Fantasy,no,533.668,2022-01-12,0,0,104.0,Released,6.736,1254,2022,0
52,Venus,Drama,es,511.495,2022-02-12,0,0,101.0,Released,5.602,64,2022,0
53,Blood,Thriller,en,511.355,2023-12-01,0,0,108.0,Released,5.9,40,2023,0
55,Candy Land,Horror,en,502.146,2023-06-01,0,0,93.0,Released,6.51,48,2023,0
56,Lecciones para canallas,Comedy,es,495.492,2022-01-09,0,0,104.0,Released,4.375,4,2022,0
62,Dolphin Boy,Animation,ru,442.791,2022-07-04,0,0,90.0,Released,6.2,38,2022,0
65,65,Science Fiction,en,434.038,2023-02-03,45000000,55000000,92.0,Released,6.229,1118,2023,10000000
66,Big Trip 2: Special Delivery,Animation,ru,433.004,2022-07-10,0,0,90.0,Released,6.556,45,2022,0
69,Sniper: The White Raven,War,uk,418.74,2022-03-05,1000000,0,120.0,Released,7.604,298,2022,-1000000
71,Ritual,Thriller,nl,405.467,2022-07-09,0,0,120.0,Released,7.0,28,2022,0
73,Thor: Love and Thunder,Fantasy,en,394.087,2022-06-07,250000000,760928081,119.0,Released,6.625,5488,2022,510928081
75,Somebody I Used to Know,Romance,en,388.555,2023-10-02,0,0,106.0,Released,6.231,52,2023,0
78,Superfast!,Comedy,en,369.009,2015-05-03,20000000,0,99.0,Released,5.0,351,2015,-20000000
79,Medieval,History,en,368.367,2022-08-09,23000000,4311284,126.0,Released,7.209,339,2022,-18688716
81,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,en,363.431,2005-07-12,180000000,745013115,143.0,Released,7.12,9361,2005,565013115
83,Guillermo del Toro's Pinocchio,Animation,en,355.968,2022-09-11,35000000,0,117.0,Released,8.249,2129,2022,-35000000
84,Wolf Hound,War,en,355.664,2022-03-06,0,0,127.0,Released,6.643,77,2022,0
86,Me contro Te: Il film - Persi nel tempo,Family,it,353.813,2022-01-01,0,0,60.0,Released,7.8,42,2022,0
88,Terrifier 2,Horror,en,338.682,2022-06-10,250000,12400000,138.0,Released,6.966,1033,2022,12150000
91,Battle: Freestyle,Romance,no,333.723,2022-01-04,0,0,88.0,Released,5.1,28,2022,0
94,Jurassic World Dominion,Adventure,en,326.317,2022-01-06,165000000,1001978080,147.0,Released,6.9,4493,2022,836978080
